,x,y,avgE,stdE,avgFx,avgFy,stdFx,stdFy,loss,type,generation,E_1,E_2,E_3,E_4,E_5,Fx_1,Fx_2,Fx_3,Fx_4,Fx_5,Fy_1,Fy_2,Fy_3,Fy_4,Fy_5
395,1.0876254,-1.1277592,16.828424,10.04771,-21.191368,19.987715,6.034739,11.558066,1.6901168,contour,2,30.941034,13.587242,22.010056,13.186877,4.416932,-21.860939,-17.581825,-21.969221,-14.233385,-30.31148,29.848753,11.816591,34.494213,8.098222,15.680796
396,1.1117057,-1.1277592,17.374723,9.993132,-24.240026,19.860235,7.2078,11.522972,1.6464157,contour,2,31.477634,14.038647,22.576591,13.565931,5.2148256,-22.726696,-19.9713,-25.158737,-17.327515,-36.015884,29.731323,11.7547,34.351547,8.13759,15.326021
397,1.1357859,-1.1277592,17.998676,9.903823,-27.642145,19.700968,8.564213,11.473242,1.6125635,contour,2,32.03656,14.552231,23.225403,14.025182,6.1540194,-23.717285,-22.753983,-28.807495,-20.895222,-42.036766,29.586617,11.657391,34.146523,8.180916,14.933368
398,1.1598662,-1.1277592,18.70885,9.779333,-31.399765,19.506378,10.02598,11.408357,1.5743848,contour,2,32.621002,15.1380005,23.967857,14.5760765,7.24128,-24.848429,-25.973568,-32.93975,-24.93791,-48.29918,29.410744,11.516686,33.873688,8.226978,14.503767
399,1.1839465,-1.1277592,19.513714,9.620004,-35.505547,19.273666,11.530472,11.327801,1.5180974,contour,2,33.234547,15.806927,24.81578,15.22993,8.481361,-26.138294,-29.665487,-37.566566,-29.443542,-54.713894,29.19913,11.324736,33.529144,8.275103,14.040228
400,-1.2,-1.103679,8.064667,0.7789752,26.46529,20.473408,4.750916,1.0968,1.3638471,contour,2,7.288576,7.3740973,8.882824,7.9050136,8.87281,20.723553,23.690624,29.796394,25.51686,32.599022,19.75909,19.02583,21.838585,20.98371,20.759815
401,-1.1759198,-1.103679,7.4411116,0.673595,25.312922,20.69785,4.3843656,0.9905395,1.3129715,contour,2,6.798418,6.8151855,8.178598,7.3035007,8.109865,19.97979,22.71843,28.679092,24.43274,30.75453,20.10032,19.359432,21.917055,21.18469,20.927715
402,-1.1518395,-1.103679,6.8461328,0.57714695,24.091833,20.921488,4.0118885,0.8864536,1.2356637,contour,2,6.3266854,6.2805347,7.5023623,6.7288027,7.3922825,19.192581,21.67492,27.470425,23.288422,28.832766,20.437344,19.69159,21.994392,21.382645,21.101452
403,-1.1277592,-1.103679,6.2813845,0.4897857,22.802618,21.142553,3.6388445,0.7852216,1.1356574,contour,2,5.8744555,5.771906,6.8564215,6.182396,6.7217374,18.35978,20.557514,26.16065,22.083755,26.851357,20.767885,20.020332,22.069958,21.57604,21.278555
404,-1.103679,-1.103679,5.7484784,0.41155824,21.44737,21.359112,3.2699857,0.6876837,1.0179547,contour,2,5.4428487,5.291075,6.243328,5.665716,6.0994163,17.479324,19.365713,24.74115,20.819584,24.831049,21.089521,20.343481,22.143099,21.763258,21.456215
405,-1.0795987,-1.103679,5.2489634,0.34251815,20.029873,21.569147,2.908746,0.59494156,0.88805443,contour,2,5.033042,4.839819,5.6658087,5.180176,5.52599,16.54937,18.101881,23.206121,19.497938,22.794027,21.39972,20.65868,22.213161,21.942669,21.631485
406,-1.0555184,-1.103679,4.7842803,0.28266925,18.555882,21.770634,2.5571058,0.5084441,0.751498,contour,2,4.646238,4.4198046,5.1266484,4.727119,5.0015974,15.568456,16.771954,21.554659,18.122232,20.762085,21.695898,20.96347,22.279547,22.11266,21.801577
407,-1.0314381,-1.103679,4.355695,0.23203415,17.03341,21.961676,2.2162046,0.43000332,0.61388445,contour,2,4.283672,4.032527,4.6286054,4.3077946,4.5258775,14.535805,15.385664,19.793114,16.697382,18.75508,21.975494,21.255379,22.34172,22.271713,21.964062
408,-1.0073578,-1.103679,3.9642472,0.19053869,15.472891,22.14057,1.8874682,0.3620117,0.48113483,contour,2,3.9465933,3.679172,4.174161,3.9233086,4.098011,13.451769,13.9561405,17.936989,15.229906,16.789635,22.236095,21.531994,22.39926,22.418478,22.117054
409,-0.9832776,-1.103679,3.6107125,0.15785009,13.887044,22.305923,1.5740058,0.30730778,0.35957158,contour,2,3.6362228,3.3606129,3.7653072,3.5745907,3.7168415,12.318308,12.498799,16.011436,13.727929,14.878731,22.475494,21.791098,22.451881,22.55185,22.259264
410,-0.95919734,-1.103679,3.295526,0.13324343,12.290372,22.456646,1.2813264,0.26872635,0.2552209,contour,2,3.353705,3.0773144,3.4033308,3.2623632,3.380937,11.139347,11.029848,14.049963,12.201159,13.031548,22.69183,22.030842,22.499504,22.671017,22.39002
411,-0.93511707,-1.103679,3.0187662,0.115380906,10.698282,22.592102,1.0172292,0.24760221,0.1724951,contour,2,3.1000605,2.8293777,3.0886364,2.9870872,3.0886726,9.920882,9.564771,12.090979,10.660767,11.253987,22.883705,22.249794,22.542244,22.775572,22.509176
412,-0.9110368,-1.103679,2.7801378,0.10246382,9.125879,22.712078,0.7906397,0.24216644,0.11286769,contour,2,2.8761659,2.6165304,2.8206935,2.748943,2.8383522,8.670657,8.117275,10.173071,9.119145,9.549242,23.05037,22.447052,22.580475,22.865501,22.61701
413,-0.8869565,-1.103679,2.578991,0.09263235,7.5869193,22.816843,0.6097342,0.24764447,0.07442722,contour,2,2.6826634,2.438213,2.5980933,2.547807,2.6281836,7.3974805,6.6987977,8.330202,7.589539,7.9185486,23.191809,22.6223,22.614735,22.941235,22.714138
